Player_match_SK,PlayerMatch_key,Match_Id,Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name,Role_Desc,Player_team,Opposit_Team,Season_year,Age_As_on_match
12738,33598900040,335989,40,G Gambhir,10/14/1981,Left-hand bat,Legbreak,India,Player,Delhi Daredevils,Rajasthan Royals,2008,27
12739,33598900041,335989,41,V Sehwag,10/20/1978,Right-hand bat,Right-arm offbreak,India,Captain,Delhi Daredevils,Rajasthan Royals,2008,30
12740,33598900042,335989,42,S Dhawan,12-05-1985,Left-hand bat,Right-arm offbreak,India,Player,Delhi Daredevils,Rajasthan Royals,2008,23
12741,33598900087,335989,87,MK Tiwary,11/14/1985,Right-hand bat,Legbreak googly,India,Player,Delhi Daredevils,Rajasthan Royals,2008,23
12742,33598900088,335989,88,KD Karthik,06-01-1985,Right-hand bat,N/A,India,Keeper,Delhi Daredevils,Rajasthan Royals,2008,23
12743,33598900089,335989,89,R Bhatia,10/22/1979,Right-hand bat,Right-arm medium-fast,India,Player,Delhi Daredevils,Rajasthan Royals,2008,29
12744,33598900090,335989,90,MF Maharoof,09-07-1984,Right-hand bat,Right-arm fast-medium,India,Player,Delhi Daredevils,Rajasthan Royals,2008,24
12745,33598900118,335989,118,GD McGrath,02-09-1970,Right-hand bat,Right-arm fast-medium,Australia,Player,Delhi Daredevils,Rajasthan Royals,2008,38
12746,33598900171,335989,171,M Manhas,10-12-1979,Right-hand bat,Right-arm offbreak,India,Player,Delhi Daredevils,Rajasthan Royals,2008,29
12747,33598900175,335989,175,DL Vettori,1/27/1979,Left-hand bat,Slow left-arm orthodox,New Zealand,Player,Delhi Daredevils,Rajasthan Royals,2008,29
12748,33598900436,335989,436,B Geeves,6/13/1982,Right-hand bat,Right-arm fast-medium,Australia,Player,Delhi Daredevils,Rajasthan Royals,2008,26
12749,33598900030,335989,30,T Kohli,12/17/1988,Right-hand bat,Right-arm medium,India,Player,Rajasthan Royals,Delhi Daredevils,2008,20
12750,33598900031,335989,31,YK Pathan,11/17/1982,Right-hand bat,Right-arm offbreak,India,Player,Rajasthan Royals,Delhi Daredevils,2008,26
12751,33598900032,335989,32,SR Watson,6/17/1981,Right-hand bat,Right-arm fast-medium,Australia,Player,Rajasthan Royals,Delhi Daredevils,2008,27
12752,33598900033,335989,33,M Kaif,12-01-1980,Right-hand bat,Right-arm offbreak,India,Player,Rajasthan Royals,Delhi Daredevils,2008,28
12753,33598900034,335989,34,DS Lehmann,02-05-1970,Left-hand bat,Slow left-arm orthodox,Australia,Player,Rajasthan Royals,Delhi Daredevils,2008,38
12754,33598900035,335989,35,RA Jadeja,12-06-1988,Left-hand bat,Slow left-arm orthodox,India,Player,Rajasthan Royals,Delhi Daredevils,2008,20
12755,33598900036,335989,36,M Rawat,10/25/1985,Right-hand bat,N/A,India,Keeper,Rajasthan Royals,Delhi Daredevils,2008,23
12756,33598900037,335989,37,D Salunkhe,11-12-1982,Right-hand bat,Legbreak,India,Player,Rajasthan Royals,Delhi Daredevils,2008,26
12757,33598900038,335989,38,SK Warne,9/13/1969,Right-hand bat,Legbreak googly,Australia,Captain,Rajasthan Royals,Delhi Daredevils,2008,39
12758,33598900039,335989,39,SK Trivedi,09-04-1982,Right-hand bat,Right-arm medium,India,Player,Rajasthan Royals,Delhi Daredevils,2008,26
12759,33598900126,335989,126,MM Patel,07-12-1983,Right-hand bat,Right-arm medium-fast,India,Player,Rajasthan Royals,Delhi Daredevils,2008,25
12760,33599000043,335990,43,L Ronchi,4/23/1981,Right-hand bat,N/A,Australia,Keeper,Mumbai Indians,Royal Challengers Bangalore,2008,27
12761,33599000044,335990,44,ST Jayasuriya,6/30/1969,Left-hand bat,Slow left-arm orthodox,Sri Lanka,Player,Mumbai Indians,Royal Challengers Bangalore,2008,39
12762,33599000045,335990,45,DJ Thornely,10-01-1978,Right-hand bat,Right-arm medium,Australia,Player,Mumbai Indians,Royal Challengers Bangalore,2008,30
12763,33599000046,335990,46,RV Uthappa,11-11-1985,Right-hand bat,Right-arm medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,23
12764,33599000047,335990,47,PR Shah,11-03-1987,Right-hand bat,N/A,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,21
12765,33599000048,335990,48,AM Nayar,10-08-1983,Left-hand bat,Right-arm medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,25
12766,33599000049,335990,49,SM Pollock,7/16/1973,Right-hand bat,Right-arm fast-medium,South Africa,Player,Mumbai Indians,Royal Challengers Bangalore,2008,35
12767,33599000050,335990,50,Harbhajan Singh,07-03-1980,Right-hand bat,Right-arm offbreak,India,Captain,Mumbai Indians,Royal Challengers Bangalore,2008,28
12768,33599000072,335990,72,MA Khote,4/22/1980,Right-hand bat,Right-arm medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,28
12769,33599000073,335990,73,A Nehra,4/29/1979,Right-hand bat,Left-arm medium-fast,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,29
12770,33599000080,335990,80,DS Kulkarni,12-10-1988,Right-hand bat,Right-arm medium,India,Player,Mumbai Indians,Royal Challengers Bangalore,2008,20
12771,33599000006,335990,6,R Dravid,01-11-1973,Right-hand bat,Right-arm offbreak,India,Captain,Royal Challengers Bangalore,Mumbai Indians,2008,35
12772,33599000008,335990,8,V Kohli,11-05-1988,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,20
12773,33599000009,335990,9,JH Kallis,10/16/1975,Right-hand bat,Right-arm fast-medium,South Africa,Player,Royal Challengers Bangalore,Mumbai Indians,2008,33
12774,33599000011,335990,11,MV Boucher,12-03-1976,Right-hand bat,Right-arm medium,South Africa,Keeper,Royal Challengers Bangalore,Mumbai Indians,2008,32
12775,33599000012,335990,12,B Akhil,10-07-1977,Right-hand bat,Right-arm medium-fast,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,31
12776,33599000014,335990,14,P Kumar,10-02-1986,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,22
12777,33599000015,335990,15,Z Khan,10-07-1978,Right-hand bat,Left-arm fast-medium,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,30
12778,33599000016,335990,16,SB Joshi,06-06-1970,Left-hand bat,Slow left-arm orthodox,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,38
12779,33599000051,335990,51,S Chanderpaul,8/16/1974,Left-hand bat,Legbreak,West Indies,Player,Royal Challengers Bangalore,Mumbai Indians,2008,34
12780,33599000052,335990,52,LRPL Taylor,03-08-1984,Right-hand bat,Right-arm offbreak,New Zealand,Player,Royal Challengers Bangalore,Mumbai Indians,2008,24
12781,33599000081,335990,81,R Vinay Kumar,02-12-1984,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Mumbai Indians,2008,24
12782,33599100053,335991,53,AC Gilchrist,11/14/1971,Left-hand bat,Right-arm offbreak,Australia,Keeper,Deccan Chargers,Kolkata Knight Riders,2008,37
12783,33599100054,335991,54,Y Venugopal Rao,2/26/1982,Right-hand bat,Right-arm offbreak,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,26
12784,33599100055,335991,55,VVS Laxman,11-01-1974,Right-hand bat,Right-arm offbreak,India,Captain,Deccan Chargers,Kolkata Knight Riders,2008,34
12785,33599100056,335991,56,A Symonds,06-09-1975,Right-hand bat,Right-arm offbreak,Australia,Player,Deccan Chargers,Kolkata Knight Riders,2008,33
12786,33599100057,335991,57,RG Sharma,4/30/1987,Right-hand bat,Right-arm offbreak,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,21
12787,33599100058,335991,58,SB Styris,07-10-1975,Right-hand bat,Right-arm medium,New Zealand,Player,Deccan Chargers,Kolkata Knight Riders,2008,33
12788,33599100059,335991,59,SB Bangar,10-11-1972,Right-hand bat,Right-arm medium-fast,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,36
12789,33599100060,335991,60,WPUJC Vaas,1/27/1974,Left-hand bat,Left-arm fast-medium,Sri Lanka,Player,Deccan Chargers,Kolkata Knight Riders,2008,34
12790,33599100061,335991,61,RP Singh,12-06-1985,Right-hand bat,Left-arm fast-medium,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,23
12791,33599100131,335991,131,PP Ojha,09-05-1986,Left-hand bat,Slow left-arm orthodox,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,22
12792,33599100232,335991,232,UT Yadav,10/25/1987,Right-hand bat,Right-arm fast-medium,India,Player,Deccan Chargers,Kolkata Knight Riders,2008,21
12793,33599100001,335991,1,SC Ganguly,07-08-1972,Left-hand bat,Right-arm medium,India,Captain,Kolkata Knight Riders,Deccan Chargers,2008,36
12794,33599100002,335991,2,BB McCullum,9/27/1981,Right-hand bat,Right-arm medium,New Zealand,Player,Kolkata Knight Riders,Deccan Chargers,2008,27
12795,33599100003,335991,3,RT Ponting,12/19/1974,Right-hand bat,Right-arm medium,Australia,Player,Kolkata Knight Riders,Deccan Chargers,2008,34
12796,33599100004,335991,4,DJ Hussey,7/15/1977,Right-hand bat,Right-arm offbreak,Australia,Player,Kolkata Knight Riders,Deccan Chargers,2008,31
12797,33599100005,335991,5,Mohammad Hafeez,10/17/1980,Right-hand bat,Right-arm offbreak,Pakistan,Player,Kolkata Knight Riders,Deccan Chargers,2008,28
12798,33599100062,335991,62,WP Saha,10/24/1984,Right-hand bat,N/A,India,Keeper,Kolkata Knight Riders,Deccan Chargers,2008,24
12799,33599100063,335991,63,LR Shukla,05-06-1981,Right-hand bat,Right-arm medium,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,27
12800,33599100082,335991,82,AB Agarkar,12-04-1977,Right-hand bat,Right-arm fast,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,31
12801,33599100083,335991,83,M Kartik,09-11-1976,Left-hand bat,Slow left-arm orthodox,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,32
12802,33599100084,335991,84,I Sharma,09-02-1988,Right-hand bat,Right-arm fast-medium,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,20
12803,33599100106,335991,106,AB Dinda,3/25/1984,Right-hand bat,Right-arm medium-fast,India,Player,Kolkata Knight Riders,Deccan Chargers,2008,24
12804,33599200031,335992,31,YK Pathan,11/17/1982,Right-hand bat,Right-arm offbreak,India,Player,Rajasthan Royals,Kings XI Punjab,2008,26
12805,33599200032,335992,32,SR Watson,6/17/1981,Right-hand bat,Right-arm fast-medium,Australia,Player,Rajasthan Royals,Kings XI Punjab,2008,27
12806,33599200033,335992,33,M Kaif,12-01-1980,Right-hand bat,Right-arm offbreak,India,Player,Rajasthan Royals,Kings XI Punjab,2008,28
12807,33599200034,335992,34,DS Lehmann,02-05-1970,Left-hand bat,Slow left-arm orthodox,Australia,Player,Rajasthan Royals,Kings XI Punjab,2008,38
12808,33599200035,335992,35,RA Jadeja,12-06-1988,Left-hand bat,Slow left-arm orthodox,India,Player,Rajasthan Royals,Kings XI Punjab,2008,20
12809,33599200037,335992,37,D Salunkhe,11-12-1982,Right-hand bat,Legbreak,India,Player,Rajasthan Royals,Kings XI Punjab,2008,26
12810,33599200038,335992,38,SK Warne,9/13/1969,Right-hand bat,Legbreak googly,Australia,Captain,Rajasthan Royals,Kings XI Punjab,2008,39
12811,33599200039,335992,39,SK Trivedi,09-04-1982,Right-hand bat,Right-arm medium,India,Player,Rajasthan Royals,Kings XI Punjab,2008,26
12812,33599200069,335992,69,Kamran Akmal,1/13/1982,Right-hand bat,N/A,Pakistan,Keeper,Rajasthan Royals,Kings XI Punjab,2008,26
12813,33599200075,335992,75,Pankaj Singh,05-06-1985,Right-hand bat,Right-arm medium-fast,India,Player,Rajasthan Royals,Kings XI Punjab,2008,23
12814,33599200126,335992,126,MM Patel,07-12-1983,Right-hand bat,Right-arm medium-fast,India,Player,Rajasthan Royals,Kings XI Punjab,2008,25
12815,33599200024,335992,24,K Goel,12/24/1986,Left-hand bat,Right-arm offbreak,India,Player,Kings XI Punjab,Rajasthan Royals,2008,22
12816,33599200025,335992,25,JR Hopes,10/24/1978,Right-hand bat,Right-arm medium,Australia,Player,Kings XI Punjab,Rajasthan Royals,2008,30
12817,33599200026,335992,26,KC Sangakkara,10/27/1977,Left-hand bat,Right-arm offbreak,Sri Lanka,Keeper,Kings XI Punjab,Rajasthan Royals,2008,31
12818,33599200027,335992,27,Yuvraj Singh,12-12-1981,Left-hand bat,Slow left-arm orthodox,India,Captain,Kings XI Punjab,Rajasthan Royals,2008,27
12819,33599200029,335992,29,IK Pathan,10/27/1984,Left-hand bat,Left-arm medium-fast,India,Player,Kings XI Punjab,Rajasthan Royals,2008,24
12820,33599200064,335992,64,DPMD Jayawardene,5/27/1977,Right-hand bat,Right-arm medium,Sri Lanka,Player,Kings XI Punjab,Rajasthan Royals,2008,31
12821,33599200065,335992,65,S Sohal,11-10-1987,Right-hand bat,Legbreak,India,Player,Kings XI Punjab,Rajasthan Royals,2008,21
12822,33599200066,335992,66,B Lee,11-08-1976,Right-hand bat,Right-arm fast,Australia,Player,Kings XI Punjab,Rajasthan Royals,2008,32
12823,33599200067,335992,67,PP Chawla,12/24/1988,Left-hand bat,Legbreak,India,Player,Kings XI Punjab,Rajasthan Royals,2008,20
12824,33599200068,335992,68,WA Mota,9/20/1981,Right-hand bat,Right-arm medium,India,Player,Kings XI Punjab,Rajasthan Royals,2008,27
12825,33599200077,335992,77,S Sreesanth,02-06-1983,Right-hand bat,Right-arm fast-medium,India,Player,Kings XI Punjab,Rajasthan Royals,2008,25
12826,33599300053,335993,53,AC Gilchrist,11/14/1971,Left-hand bat,Right-arm offbreak,Australia,Keeper,Deccan Chargers,Delhi Daredevils,2008,37
12827,33599300054,335993,54,Y Venugopal Rao,2/26/1982,Right-hand bat,Right-arm offbreak,India,Player,Deccan Chargers,Delhi Daredevils,2008,26
12828,33599300055,335993,55,VVS Laxman,11-01-1974,Right-hand bat,Right-arm offbreak,India,Captain,Deccan Chargers,Delhi Daredevils,2008,34
12829,33599300056,335993,56,A Symonds,06-09-1975,Right-hand bat,Right-arm offbreak,Australia,Player,Deccan Chargers,Delhi Daredevils,2008,33
12830,33599300057,335993,57,RG Sharma,4/30/1987,Right-hand bat,Right-arm offbreak,India,Player,Deccan Chargers,Delhi Daredevils,2008,21
12831,33599300059,335993,59,SB Bangar,10-11-1972,Right-hand bat,Right-arm medium-fast,India,Player,Deccan Chargers,Delhi Daredevils,2008,36
12832,33599300060,335993,60,WPUJC Vaas,1/27/1974,Left-hand bat,Left-arm fast-medium,Sri Lanka,Player,Deccan Chargers,Delhi Daredevils,2008,34
12833,33599300061,335993,61,RP Singh,12-06-1985,Right-hand bat,Left-arm fast-medium,India,Player,Deccan Chargers,Delhi Daredevils,2008,23
12834,33599300070,335993,70,Shahid Afridi,03-01-1980,Right-hand bat,Legbreak googly,Pakistan,Player,Deccan Chargers,Delhi Daredevils,2008,28
12835,33599300131,335993,131,PP Ojha,09-05-1986,Left-hand bat,Slow left-arm orthodox,India,Player,Deccan Chargers,Delhi Daredevils,2008,22
12836,33599300232,335993,232,UT Yadav,10/25/1987,Right-hand bat,Right-arm fast-medium,India,Player,Deccan Chargers,Delhi Daredevils,2008,21
12837,33599300040,335993,40,G Gambhir,10/14/1981,Left-hand bat,Legbreak,India,Player,Delhi Daredevils,Deccan Chargers,2008,27
12838,33599300041,335993,41,V Sehwag,10/20/1978,Right-hand bat,Right-arm offbreak,India,Captain,Delhi Daredevils,Deccan Chargers,2008,30
12839,33599300042,335993,42,S Dhawan,12-05-1985,Left-hand bat,Right-arm offbreak,India,Player,Delhi Daredevils,Deccan Chargers,2008,23
12840,33599300086,335993,86,Shoaib Malik,02-01-1982,Right-hand bat,Right-arm offbreak,Pakistan,Player,Delhi Daredevils,Deccan Chargers,2008,26
12841,33599300087,335993,87,MK Tiwary,11/14/1985,Right-hand bat,Legbreak googly,India,Player,Delhi Daredevils,Deccan Chargers,2008,23
12842,33599300088,335993,88,KD Karthik,06-01-1985,Right-hand bat,N/A,India,Keeper,Delhi Daredevils,Deccan Chargers,2008,23
12843,33599300089,335993,89,R Bhatia,10/22/1979,Right-hand bat,Right-arm medium-fast,India,Player,Delhi Daredevils,Deccan Chargers,2008,29
12844,33599300090,335993,90,MF Maharoof,09-07-1984,Right-hand bat,Right-arm fast-medium,India,Player,Delhi Daredevils,Deccan Chargers,2008,24
12845,33599300091,335993,91,VY Mahesh,12/21/1987,Right-hand bat,Right-arm medium-fast,India,Player,Delhi Daredevils,Deccan Chargers,2008,21
12846,33599300117,335993,117,Mohammad Asif,12/20/1982,Left-hand bat,Right-arm fast-medium,Pakistan,Player,Delhi Daredevils,Deccan Chargers,2008,26
12847,33599300118,335993,118,GD McGrath,02-09-1970,Right-hand bat,Right-arm fast-medium,Australia,Player,Delhi Daredevils,Deccan Chargers,2008,38
12848,33599400043,335994,43,L Ronchi,4/23/1981,Right-hand bat,N/A,Australia,Keeper,Mumbai Indians,Chennai Super Kings,2008,27
12849,33599400044,335994,44,ST Jayasuriya,6/30/1969,Left-hand bat,Slow left-arm orthodox,Sri Lanka,Player,Mumbai Indians,Chennai Super Kings,2008,39
12850,33599400046,335994,46,RV Uthappa,11-11-1985,Right-hand bat,Right-arm medium,India,Player,Mumbai Indians,Chennai Super Kings,2008,23
12851,33599400048,335994,48,AM Nayar,10-08-1983,Left-hand bat,Right-arm medium,India,Player,Mumbai Indians,Chennai Super Kings,2008,25
12852,33599400049,335994,49,SM Pollock,7/16/1973,Right-hand bat,Right-arm fast-medium,South Africa,Player,Mumbai Indians,Chennai Super Kings,2008,35
12853,33599400050,335994,50,Harbhajan Singh,07-03-1980,Right-hand bat,Right-arm offbreak,India,Captain,Mumbai Indians,Chennai Super Kings,2008,28
12854,33599400071,335994,71,DJ Bravo,10-07-1983,Right-hand bat,Right-arm medium-fast,West Indies,Player,Mumbai Indians,Chennai Super Kings,2008,25
12855,33599400072,335994,72,MA Khote,4/22/1980,Right-hand bat,Right-arm medium,India,Player,Mumbai Indians,Chennai Super Kings,2008,28
12856,33599400073,335994,73,A Nehra,4/29/1979,Right-hand bat,Left-arm medium-fast,India,Player,Mumbai Indians,Chennai Super Kings,2008,29
12857,33599400080,335994,80,DS Kulkarni,12-10-1988,Right-hand bat,Right-arm medium,India,Player,Mumbai Indians,Chennai Super Kings,2008,20
12858,33599400150,335994,150,VS Yeligati,4/23/1985,Right-hand bat,Right-arm offbreak,India,Player,Mumbai Indians,Chennai Super Kings,2008,23
12859,33599400017,335994,17,PA Patel,03-09-1985,Left-hand bat,N/A,India,Player,Chennai Super Kings,Mumbai Indians,2008,23
12860,33599400018,335994,18,ML Hayden,10/29/1971,Left-hand bat,Right-arm medium,Australia,Player,Chennai Super Kings,Mumbai Indians,2008,37
12861,33599400019,335994,19,MEK Hussey,5/27/1975,Left-hand bat,Right-arm medium,Australia,Player,Chennai Super Kings,Mumbai Indians,2008,33
12862,33599400020,335994,20,MS Dhoni,07-07-1981,Right-hand bat,Right-arm medium,India,CaptainKeeper,Chennai Super Kings,Mumbai Indians,2008,27
12863,33599400021,335994,21,SK Raina,11/27/1986,Left-hand bat,Right-arm offbreak,India,Player,Chennai Super Kings,Mumbai Indians,2008,22
12864,33599400022,335994,22,JDP Oram,7/28/1978,Left-hand bat,Right-arm fast-medium,New Zealand,Player,Chennai Super Kings,Mumbai Indians,2008,30
12865,33599400023,335994,23,S Badrinath,8/30/1980,Right-hand bat,Right-arm offbreak,India,Player,Chennai Super Kings,Mumbai Indians,2008,28
12866,33599400119,335994,119,Joginder Sharma,10/23/1983,Right-hand bat,Right-arm fast-medium,India,Player,Chennai Super Kings,Mumbai Indians,2008,25
12867,33599400120,335994,120,MS Gony,01-04-1984,Right-hand bat,Right-arm medium,India,Player,Chennai Super Kings,Mumbai Indians,2008,24
12868,33599400121,335994,121,M Muralitharan,4/17/1972,Right-hand bat,Right-arm offbreak,Sri Lanka,Player,Chennai Super Kings,Mumbai Indians,2008,36
12869,33599400435,335994,435,P Amarnath,06-01-1982,Right-hand bat,Right-arm medium,India,Player,Chennai Super Kings,Mumbai Indians,2008,26
12870,33599500053,335995,53,AC Gilchrist,11/14/1971,Left-hand bat,Right-arm offbreak,Australia,Keeper,Deccan Chargers,Rajasthan Royals,2008,37
12871,33599500055,335995,55,VVS Laxman,11-01-1974,Right-hand bat,Right-arm offbreak,India,Captain,Deccan Chargers,Rajasthan Royals,2008,34
12872,33599500056,335995,56,A Symonds,06-09-1975,Right-hand bat,Right-arm offbreak,Australia,Player,Deccan Chargers,Rajasthan Royals,2008,33
12873,33599500057,335995,57,RG Sharma,4/30/1987,Right-hand bat,Right-arm offbreak,India,Player,Deccan Chargers,Rajasthan Royals,2008,21
